stimID,stimFilename,reactionFilename,obsID,movie,gender,obsRace,visit,storyteller_label_attn_check,storyteller_label_student_yes,EAcorr,EArmse,compassion,stimRace,Ideology,age,cond,SES,RemoveMisLabeled1,EAcorrRaw,EArmseRaw,compassionRaw,Movie2
113,user_38_testimonial_37_stimuli_113_.mp4,user_271_experiment_45_reaction_1737_.mp4,271,Moneyball,woman,"White",2,Formerly Incarcerated,0,-0.179472644085148,42.6203184854045,94,Black,Liberal,29,Control,8,0,-0.179472644085148,42.6203184854045,94,Control
113,user_38_testimonial_37_stimuli_113_.mp4,user_274_experiment_48_reaction_3094_.mp4,274,Concussion,man,"White",2,Formerly Incarcerated,0,-0.176838346286418,36.4724914734876,88,Black,Liberal,50,Control,NaN,0,-0.176838346286418,36.4724914734876,88,Control
113,user_38_testimonial_37_stimuli_113_.mp4,user_276_experiment_50_reaction_1785_.mp4,276,Moneyball,man,"White",2,Formerly Incarcerated,0,0.339281321784779,40.1130470826179,81,Black,OtherRight,65,Control,6,0,0.339281321784779,40.1130470826179,81,Control
113,user_38_testimonial_37_stimuli_113_.mp4,user_279_experiment_53_reaction_1656_.mp4,279,Just Mercy,man,"White",1,Formerly Incarcerated,1,NaN,NaN,NaN,Black,Conservative,55,Intervention,6,1,0.908255654368705,15.1130648323892,100,Intervention
113,user_38_testimonial_37_stimuli_113_.mp4,user_284_experiment_58_reaction_1694_.mp4,284,Just Mercy,woman,"White",1,Formerly Incarcerated,0,-0.189078822767017,42.4540652821345,83,Black,Liberal,49,Intervention,NaN,0,-0.189078822767017,42.4540652821345,83,Intervention
113,user_38_testimonial_37_stimuli_113_.mp4,user_286_experiment_60_reaction_1895_.mp4,286,Concussion,woman,"White",2,Student,1,-0.135288453596355,40.9929658252061,67,Black,Liberal,64,Control,2,0,-0.135288453596355,40.9929658252061,67,Control
113,user_38_testimonial_37_stimuli_113_.mp4,user_289_experiment_63_reaction_1832_.mp4,289,Just Mercy,man,"Asian",1,Student,1,0.689412792879382,30.1596745316432,66,Black,Conservative,56,Intervention,3,0,0.689412792879382,30.1596745316432,66,Intervention
113,user_38_testimonial_37_stimuli_113_.mp4,user_290_experiment_64_reaction_4041_.mp4,290,Moneyball,woman,"White",2,Formerly Incarcerated,0,0.423524664940233,32.6716265530172,89,Black,Conservative,61,Control,7,0,0.423524664940233,32.6716265530172,89,Control
113,user_38_testimonial_37_stimuli_113_.mp4,user_292_experiment_66_reaction_2072_.mp4,292,Moneyball,woman,"White",2,Student,1,0.345294429921065,34.9226354337268,95,Black,Liberal,32,Control,7,0,0.345294429921065,34.9226354337268,95,Control
113,user_38_testimonial_37_stimuli_113_.mp4,user_297_experiment_71_reaction_2015_.mp4,297,Concussion,woman,"Asian",2,Student,1,-0.0982180554690383,71.1625826005904,100,Black,Liberal,42,Control,8,0,-0.0982180554690383,71.1625826005904,100,Control
113,user_38_testimonial_37_stimuli_113_.mp4,user_298_experiment_72_reaction_2081_.mp4,298,Just Mercy,woman,"White",2,Formerly Incarcerated,0,0.201076682765722,38.1436958464013,91,Black,Conservative,58,Intervention,3,0,0.201076682765722,38.1436958464013,91,Intervention
113,user_38_testimonial_37_stimuli_113_.mp4,user_300_experiment_74_reaction_1967_.mp4,300,Just Mercy,man,"Hispanic or Latino,White",1,Formerly Incarcerated,0,-0.430461030718601,45.2570125114129,91,Black,OtherRight,24,Intervention,5,0,-0.430461030718601,45.2570125114129,91,Intervention
